tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,Titles,pos,neg,neu,compound
tt0241025,movie,Vanity Fair,Vanity Fair,0,2004,\N,141,Drama,6.2,23085,vanity fair,0.548,0.452,0.0,0.1027
tt1323045,movie,Frozen,Frozen,0,2010,\N,93,"Adventure,Drama,Mystery",6.2,76529,frozen,0.0,0.0,1.0,0.0
tt0102945,movie,Sleeping with the Enemy,Sleeping with the Enemy,0,1991,\N,99,"Drama,Thriller",6.2,61187,sleeping enemy,0.0,0.778,0.222,-0.5423
tt0242527,movie,The Hole,The Hole,0,2001,\N,102,"Drama,Mystery,Thriller",6.2,47347,hole,0.0,0.0,1.0,0.0
tt0368222,movie,Romance & Cigarettes,Romance & Cigarettes,0,2005,\N,105,"Comedy,Musical,Romance",6.2,12558,romance cigarette,0.783,0.0,0.217,0.5574
tt0491203,movie,Tulip Fever,Tulip Fever,0,2017,\N,105,"Drama,History,Romance",6.2,22004,tulip fever,0.0,0.0,1.0,0.0
tt2870612,movie,"As Above, So Below","As Above, So Below",0,2014,\N,93,"Horror,Mystery,Thriller",6.2,100229,,0.0,0.0,0.0,0.0
tt0112572,movie,The Brady Bunch Movie,The Brady Bunch Movie,0,1995,\N,90,Comedy,6.2,23372,brady bunch movie,0.0,0.0,1.0,0.0
tt10243992,movie,I'm Your Woman,I'm Your Woman,0,2020,\N,120,"Crime,Drama",6.2,9441,woman,0.0,0.0,1.0,0.0
tt1234548,movie,The Men Who Stare at Goats,The Men Who Stare at Goats,0,2009,\N,94,"Comedy,War",6.2,134904,men stare goat,0.0,0.0,1.0,0.0
tt0083722,movie,Cat People,Cat People,0,1982,\N,118,"Fantasy,Horror,Thriller",6.2,22745,cat people,0.0,0.0,1.0,0.0
tt1268799,movie,A Very Harold & Kumar Christmas,A Very Harold & Kumar 3D Christmas,0,2011,\N,90,"Adventure,Comedy",6.2,71168,harold kumar christmas,0.0,0.0,1.0,0.0
tt0108525,movie,Wayne's World 2,Wayne's World 2,0,1993,\N,95,"Comedy,Music",6.2,85157,wayne world,0.0,0.0,1.0,0.0
tt0088979,movie,D.A.R.Y.L.,D.A.R.Y.L.,0,1985,\N,99,"Family,Sci-Fi",6.2,13525,d.a.r.y.l,0.0,0.0,1.0,0.0
tt7711170,movie,Alone,Alone,0,2020,\N,98,"Drama,Horror,Mystery",6.2,22988,alone,0.0,1.0,0.0,-0.25
tt8110640,movie,In the Shadow of the Moon,In the Shadow of the Moon,0,2019,\N,115,"Action,Crime,Mystery",6.2,56194,shadow moon,0.0,0.0,1.0,0.0
tt3155328,movie,Win It All,Win It All,0,2017,\N,88,Comedy,6.2,9831,win,1.0,0.0,0.0,0.5859
tt0095444,movie,Killer Klowns from Outer Space,Killer Klowns from Outer Space,0,1988,\N,88,"Comedy,Horror,Sci-Fi",6.2,41247,killer klowns outer space,0.0,0.589,0.411,-0.6486
tt1833844,movie,Berberian Sound Studio,Berberian Sound Studio,0,2012,\N,92,"Drama,Horror,Thriller",6.2,16690,berberian sound studio,0.0,0.0,1.0,0.0
tt0480255,movie,The Losers,The Losers,0,2010,\N,97,"Action,Adventure,Comedy",6.2,104411,loser,0.0,1.0,0.0,-0.5267
tt0099938,movie,Kindergarten Cop,Kindergarten Cop,0,1990,\N,111,"Action,Comedy,Crime",6.2,154838,kindergarten cop,0.0,0.0,1.0,0.0
tt0905372,movie,The Thing,The Thing,0,2011,\N,103,"Horror,Mystery,Sci-Fi",6.2,139051,thing,0.0,0.0,1.0,0.0
tt0081375,movie,Private Benjamin,Private Benjamin,0,1980,\N,109,"Comedy,War",6.2,27434,private benjamin,0.0,0.0,1.0,0.0
tt5748448,movie,Copshop,Copshop,0,2021,\N,107,"Action,Thriller",6.2,34311,copshop,0.0,0.0,1.0,0.0
tt0139462,movie,Message in a Bottle,Message in a Bottle,0,1999,\N,126,"Drama,Romance",6.2,39397,message bottle,0.0,0.0,1.0,0.0
tt1609479,movie,Better Living Through Chemistry,Better Living Through Chemistry,0,2014,\N,91,"Comedy,Drama",6.2,15395,better living chemistry,0.592,0.0,0.408,0.4404
tt0279111,movie,Gods and Generals,Gods and Generals,0,2003,\N,219,"Biography,Drama,History",6.2,16744,god general,0.677,0.0,0.323,0.2732
tt1031969,movie,The Rocker,The Rocker,0,2008,\N,102,"Comedy,Music",6.2,39463,rocker,0.0,0.0,1.0,0.0
tt11196036,movie,The Card Counter,The Card Counter,0,2021,\N,111,"Crime,Drama,Thriller",6.2,38207,card counter,0.0,0.0,1.0,0.0
tt0109951,movie,Guarding Tess,Guarding Tess,0,1994,\N,96,"Comedy,Drama",6.2,18371,guarding te,0.0,0.0,1.0,0.0
tt8155288,movie,Happy Death Day 2U,Happy Death Day 2 U,0,2019,\N,100,"Comedy,Horror,Mystery",6.2,79067,happy death day u,0.43,0.453,0.116,-0.0516
tt2617676,movie,Thalaivaa,Thalaivaa,0,2013,\N,179,"Action,Crime,Drama",6.2,11129,thalaivaa,0.0,0.0,1.0,0.0
tt7083526,movie,Breakthrough,Breakthrough,0,2019,\N,116,"Biography,Drama",6.2,10428,breakthrough,0.0,0.0,1.0,0.0
tt0266425,tvMovie,Conspiracy,Conspiracy,0,2001,\N,96,"Biography,Drama,History",7.6,22805,conspiracy,0.0,1.0,0.0,-0.5267
tt7689964,movie,RBG,RBG,0,2018,\N,98,"Biography,Documentary",7.6,14627,rbg,0.0,0.0,1.0,0.0
tt2580046,tvSeries,Miraculous: Tales of Ladybug & Cat Noir,Miraculous: Tales of Ladybug & Cat Noir,0,2015,\N,20,"Action,Adventure,Animation",7.6,12808,miraculous tale ladybug cat noir,0.0,0.0,1.0,0.0
tt1334585,short,Burn-E,Burn-E,0,2008,\N,8,"Adventure,Animation,Comedy",7.6,12045,burn-e,0.0,0.0,1.0,0.0
tt0063555,movie,The Color of Pomegranates,Sayat Nova,0,1969,\N,79,"Biography,Drama,History",7.6,12113,color pomegranate,0.0,0.0,1.0,0.0
tt0037865,movie,Leave Her to Heaven,Leave Her to Heaven,0,1945,\N,110,"Drama,Film-Noir,Romance",7.6,13922,leave heaven,0.733,0.267,0.0,0.4767
tt5511582,tvSeries,Timeless,Timeless,0,2016,2018,60,"Action,Adventure,Drama",7.6,45040,timeless,0.0,0.0,1.0,0.0
tt1355546,movie,Ayan,Ayan,0,2009,\N,162,Action,7.6,11055,ayan,0.0,0.0,1.0,0.0
tt2103281,movie,Dawn of the Planet of the Apes,Dawn of the Planet of the Apes,0,2014,\N,130,"Action,Adventure,Drama",7.6,450858,dawn planet ape,0.0,0.0,1.0,0.0
tt0024184,movie,The Invisible Man,The Invisible Man,0,1933,\N,71,"Horror,Sci-Fi",7.6,37339,invisible man,0.0,0.0,1.0,0.0
tt8359816,movie,Sorry We Missed You,Sorry We Missed You,0,2019,\N,101,Drama,7.6,23727,sorry missed,0.0,1.0,0.0,-0.3612
tt5037914,tvSeries,Crashing,Crashing,0,2017,2019,30,"Comedy,Drama",7.6,7977,crashing,0.0,0.0,1.0,0.0
tt0079116,movie,Escape from Alcatraz,Escape from Alcatraz,0,1979,\N,112,"Action,Biography,Crime",7.6,141487,escape alcatraz,0.63,0.0,0.37,0.1779
tt0068762,movie,Jeremiah Johnson,Jeremiah Johnson,0,1972,\N,108,"Adventure,Drama,Western",7.6,33009,jeremiah johnson,0.0,0.0,1.0,0.0
tt0115200,tvSeries,Hey Arnold!,Hey Arnold!,0,1996,2004,15,"Animation,Comedy,Drama",7.6,34956,hey arnold,0.0,0.0,1.0,0.0
tt10516984,short,Anima,Anima,0,2019,\N,15,"Music,Short",7.6,12431,anima,0.0,0.0,1.0,0.0
tt0417741,movie,Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince,0,2009,\N,153,"Action,Adventure,Family",7.6,562564,harry potter half-blood prince,0.0,0.0,1.0,0.0
tt0112445,movie,The White Balloon,Badkonake sefid,0,1995,\N,85,"Drama,Family",7.6,7869,white balloon,0.0,0.0,1.0,0.0
tt1403865,movie,True Grit,True Grit,0,2010,\N,110,"Drama,Western",7.6,346301,true grit,0.737,0.0,0.263,0.4215
tt0058404,movie,The Night of the Iguana,The Night of the Iguana,0,1964,\N,125,Drama,7.6,12351,night iguana,0.0,0.0,1.0,0.0
tt0112579,movie,The Bridges of Madison County,The Bridges of Madison County,0,1995,\N,135,"Drama,Romance",7.6,84715,bridge madison county,0.0,0.0,1.0,0.0
tt0247613,movie,Peppermint Candy,Bakha satang,0,1999,\N,129,Drama,7.6,10036,peppermint candy,0.0,0.0,1.0,0.0
tt0454848,movie,Inside Man,Inside Man,0,2006,\N,129,"Crime,Drama,Mystery",7.6,382823,inside man,0.0,0.0,1.0,0.0
tt3829920,movie,Only the Brave,Only the Brave,0,2017,\N,134,"Action,Biography,Drama",7.6,72874,brave,1.0,0.0,0.0,0.5267
tt0075213,movie,The Shootist,The Shootist,0,1976,\N,100,"Drama,Romance,Western",7.6,25615,shootist,0.0,0.0,1.0,0.0
tt10161310,tvEpisode,Don't Touch That Dial,Don't Touch That Dial,0,2021,\N,33,"Action,Comedy,Drama",7.6,24775,touch dial,0.0,0.0,1.0,0.0
tt1323594,movie,Despicable Me,Despicable Me,0,2010,\N,95,"Adventure,Animation,Comedy",7.6,559670,despicable,0.0,0.0,1.0,0.0
tt0035211,movie,The Pride of the Yankees,The Pride of the Yankees,0,1942,\N,128,"Biography,Drama,Romance",7.6,11426,pride yankee,0.706,0.0,0.294,0.34
tt13841076,tvEpisode,Ribbit and Rip It,Ribbit and Rip It,0,2022,\N,36,"Action,Adventure,Comedy",7.6,13706,ribbit rip,0.0,0.0,1.0,0.0
tt0067411,movie,McCabe & Mrs. Miller,McCabe & Mrs. Miller,0,1971,\N,120,"Drama,Western",7.6,26282,mccabe mrs. miller,0.0,0.0,1.0,0.0
tt0039677,movie,Odd Man Out,Odd Man Out,0,1947,\N,116,"Crime,Drama,Film-Noir",7.6,10719,odd man,0.0,0.697,0.303,-0.3182
tt7671598,tvSeries,Messiah,Messiah,0,2020,2020,43,"Drama,Mystery,Thriller",7.6,44752,messiah,0.0,0.0,1.0,0.0
tt8291284,tvSeries,The Peripheral,The Peripheral,0,2022,\N,\N,"Drama,Mystery,Sci-Fi",7.6,69361,peripheral,0.0,0.0,1.0,0.0
tt4284010,movie,"What Happened, Miss Simone?","What Happened, Miss Simone?",0,2015,\N,101,"Biography,Documentary,Music",7.6,14350,happened miss simone,0.0,0.444,0.556,-0.1531
tt0047811,movie,All That Heaven Allows,All That Heaven Allows,0,1955,\N,89,"Drama,Music,Romance",7.6,15696,heaven allows,0.767,0.0,0.233,0.5106
tt1855199,movie,End of Watch,End of Watch,0,2012,\N,109,"Action,Adventure,Crime",7.6,256086,end watch,0.0,0.0,1.0,0.0
tt0420901,movie,Shooting Dogs,Shooting Dogs,0,2005,\N,115,"Drama,History,War",7.6,11735,shooting dog,0.0,0.0,1.0,0.0
tt0054599,movie,Accattone,Accattone,0,1961,\N,117,Drama,7.6,9663,accattone,0.0,0.0,1.0,0.0
tt0857191,movie,The Visitor,The Visitor,0,2007,\N,104,Drama,7.6,43781,visitor,0.0,0.0,1.0,0.0
tt0031225,movie,Destry Rides Again,Destry Rides Again,0,1939,\N,95,"Comedy,Western",7.6,12070,destry ride,0.0,0.0,1.0,0.0
tt6788942,movie,Bad Genius,Chalard games goeng,0,2017,\N,130,"Comedy,Crime,Drama",7.6,22138,bad genius,0.0,0.778,0.222,-0.5423
tt0097757,movie,The Little Mermaid,The Little Mermaid,0,1989,\N,83,"Adventure,Animation,Family",7.6,271942,little mermaid,0.0,0.0,1.0,0.0
tt1629715,movie,Miss Lovely,Miss Lovely,0,2012,\N,113,"Crime,Drama,Romance",7.6,12697,miss lovely,0.704,0.296,0.0,0.4939
tt0117880,video,T2 3-D: Battle Across Time,T2 3-D: Battle Across Time,0,1996,\N,21,"Action,Sci-Fi,Short",7.6,8354,-d battle across time,0.0,0.464,0.536,-0.3818
tt10262630,tvSeries,Extracurricular,Extracurricular,0,2020,2020,50,"Crime,Drama",7.6,7890,extracurricular,0.0,0.0,1.0,0.0
tt1132290,tvSeries,Warehouse 13,Warehouse 13,0,2009,2014,43,"Drama,Mystery,Sci-Fi",7.6,55268,warehouse,0.0,0.0,1.0,0.0
tt0069097,movie,"Play It Again, Sam","Play It Again, Sam",0,1972,\N,85,"Comedy,Romance",7.6,27126,play sam,0.706,0.0,0.294,0.34
tt8404614,movie,The Two Popes,The Two Popes,0,2019,\N,125,"Biography,Comedy,Drama",7.6,127851,two pope,0.0,0.0,1.0,0.0
tt3729898,tvSeries,Hap and Leonard,Hap and Leonard,0,2016,2018,60,"Crime,Drama,Mystery",7.6,8093,hap leonard,0.0,0.0,1.0,0.0
tt7532470,short,The Nice Guys: Word of the Day,The Nice Guys: Word of the Day,0,2017,\N,1,"Comedy,Short",7.6,9573,nice guy word day,0.483,0.0,0.517,0.4215
tt0240200,movie,Water,Water,0,2005,\N,117,Drama,7.7,15113,water,0.0,0.0,1.0,0.0
tt8134186,tvMiniSeries,Devs,Devs,0,2020,2020,409,"Drama,Mystery,Sci-Fi",7.7,42501,devs,0.0,0.0,1.0,0.0
tt1683876,movie,Happy People: A Year in the Taiga,Happy People: A Year in the Taiga,0,2010,\N,90,Documentary,7.7,8564,happy people year taiga,0.552,0.0,0.448,0.5719
tt11459366,movie,Billie Eilish: The World's a Little Blurry,Billie Eilish: The World's a Little Blurry,0,2021,\N,140,"Biography,Documentary,Music",7.7,8305,billie eilish world little blurry,0.0,0.217,0.783,-0.0276
tt0073312,movie,Love and Death,Love and Death,0,1975,\N,85,"Comedy,War",7.7,39556,love death,0.519,0.481,0.0,0.0772
tt0041996,movie,Twelve O'Clock High,Twelve O'Clock High,0,1949,\N,132,"Drama,War",7.7,15255,twelve high,0.0,0.0,1.0,0.0
tt4061080,tvSeries,Love,Love,0,2016,2018,50,"Comedy,Drama,Romance",7.7,44183,love,1.0,0.0,0.0,0.6369
tt1149608,tvSeries,Being Erica,Being Erica,0,2009,2011,45,"Adventure,Comedy,Drama",7.7,9927,erica,0.0,0.0,1.0,0.0
tt1579361,movie,Chasing Ice,Chasing Ice,0,2012,\N,75,"Biography,Documentary",7.7,8773,chasing ice,0.0,0.0,1.0,0.0
tt0028597,movie,The Awful Truth,The Awful Truth,0,1937,\N,90,"Comedy,Romance",7.7,20463,awful truth,0.434,0.566,0.0,-0.1779
tt8649186,movie,Corpus Christi,Boze Cialo,0,2019,\N,115,Drama,7.7,20171,corpus christi,0.0,0.0,1.0,0.0
tt2980516,movie,The Theory of Everything,The Theory of Everything,0,2014,\N,123,"Biography,Drama,Romance",7.7,462821,theory everything,0.0,0.0,1.0,0.0
tt0088634,tvSeries,The Twilight Zone,The Twilight Zone,0,1985,1989,45,"Drama,Fantasy,Horror",7.7,11686,twilight zone,0.0,0.0,1.0,0.0
tt0081283,movie,Ordinary People,Ordinary People,0,1980,\N,124,Drama,7.7,54248,ordinary people,0.0,0.0,1.0,0.0
tt0082736,movie,Mephisto,Mephisto,0,1981,\N,146,Drama,7.7,11131,mephisto,0.0,0.0,1.0,0.0
tt0111845,movie,Through the Olive Trees,Zire darakhatan zeyton,0,1994,\N,103,Drama,7.7,9189,olive tree,0.0,0.0,1.0,0.0
tt0851578,movie,Paprika,Paprika,0,2006,\N,90,"Animation,Drama,Fantasy",7.7,87337,paprika,0.0,0.0,1.0,0.0
tt0330251,tvSeries,The L Word,The L Word,0,2004,2009,50,"Drama,Romance",7.7,27745,l word,0.0,0.0,1.0,0.0
tt0107282,movie,The Joy Luck Club,The Joy Luck Club,0,1993,\N,139,Drama,7.7,17450,joy luck club,0.872,0.0,0.128,0.7783
tt11609048,tvEpisode,Alloyed,Alloyed,0,2022,\N,72,"Action,Adventure,Drama",7.7,26049,alloyed,0.0,0.0,1.0,0.0
tt0068815,movie,Lone Wolf and Cub: Sword of Vengeance,Kozure Ôkami: Ko wo kashi ude kashi tsukamatsuru,0,1972,\N,84,"Action,Adventure",7.7,8458,lone wolf cub sword vengeance,0.0,0.344,0.656,-0.2732
tt0185103,tvSeries,WWE Raw,WWE Monday Night RAW,0,1993,\N,60,"Action,Sport",7.7,9367,wwe raw,0.0,0.0,1.0,0.0
tt0372183,movie,The Bourne Supremacy,The Bourne Supremacy,0,2004,\N,108,"Action,Mystery,Thriller",7.7,472744,bourne supremacy,0.545,0.0,0.455,0.0516
tt2089051,tvEpisode,The National Anthem,The National Anthem,0,2011,\N,44,"Drama,Mystery,Sci-Fi",7.7,55750,national anthem,0.0,0.0,1.0,0.0
tt0084726,movie,Star Trek II: The Wrath of Khan,Star Trek II: The Wrath of Khan,0,1982,\N,113,"Action,Adventure,Sci-Fi",7.7,124938,star trek ii wrath khan,0.0,0.0,1.0,0.0
tt0489974,tvSeries,Carnival Row,Carnival Row,0,2019,2023,56,"Crime,Drama,Fantasy",7.7,76459,carnival row,0.0,0.0,1.0,0.0
tt11316270,tvEpisode,Shadow's Waiting,Shadow's Waiting,0,2021,\N,57,"Action,Adventure,Drama",7.7,9398,shadow waiting,0.0,0.0,1.0,0.0
